dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage,ext_sample_entropy_m2,ext_approx_entropy_m2,ext_lz_complexity,ext_hurst_rs,ext_psd_slope,ext_spectral_centroid,ext_spectral_bandwidth,ext_spectral_rolloff85,ext_zero_crossing_rate,ext_turning_point_rate,ext_outlier_rate_3sigma,ext_spike_rate_mad6,ext_arch_lm5,ext_volatility_ac1,ext_trend_strength,ext_seasonality_strength,ext_changepoint_count,ext_recurrence_rate,ext_recurrence_determinism,ext_fnn_fraction,ext_corr_dim_approx,ext_bds_like,ext_zero_fraction,ext_cv2_positive,base_generator
mackey_glass_tau30_s000:1100:800,mackey_glass_tau30_s000,delay_dynamics,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 30, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1100,v2,1,800,1,0.0,False,9.516197353929913e-17,1.0,-0.544870460176444,-0.5475736985686881,13.0,13.0,,False,0.999962508330263,-0.007929307390971418,16.55673298752804,True,0.38897004874652225,True,0.7966727330556315,True,0.4205717514260424,0.014285714285714285,5.009383125968727e-07,0.001,0.95,0,1.4355832785399978,True,0.4089742760087041,0.3961311081781385,0.9153902853182159,0.5794282485739576,0.006123044156057567,0.08925692724213864,-0.08313388308608108,,,,,1.0,,,,,,0.481009938579446,0.481253775950818,0.9161663380285989,0.8289747553252806,-8.261566705384428,0.015616906081855094,0.009846652164504362,0.01953125,0.04380475594493116,0.07017543859649122,0.0,0.0,794.9598955974127,0.9081049571416252,0.0002232577291839677,0.9623074108371891,0.0,0.09972003513928457,0.800757451012679,0.0830945558739255,1.527029339555802,0.17871137902399356,0.0,0.0844876381057255,mackey_glass
lorenz63_rho39.72_s000:1200:800,lorenz63_rho39.72_s000,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 39.72130877801641, 'dt': 0.02, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1200,v2,1,800,1,0.0,False,-1.9032394707859827e-17,1.0,-0.16484364664147108,-0.7074896194894129,12.0,7.0,,False,0.9999686158794663,-0.009989364734517947,23.659895105142688,True,2.7891764722028896,True,0.9441688551809523,True,0.4881899671653482,0.0035714285714285713,5.116778634374842e-08,0.001,0.7589656567673865,0,1.318574782345251,True,0.3516648812890706,0.35274992354883483,0.8070401907526235,0.5118100328346518,0.005602153205123361,0.10010369051664182,-0.09450153731151846,,,,,1.0,,,,,,0.4110679852178536,0.4558467631089842,0.7956181356564148,0.7896148431719255,-10.281671477785382,0.01523496325892739,0.01308310433408382,0.025390625,0.017521902377972465,0.047619047619047616,0.0,0.0,794.8891787820336,0.9132432388542933,0.01391767814414413,0.9656403094229346,0.0,0.09972003513928457,0.8144245018936276,0.04011461318051576,1.4305172323357036,0.18207343032073436,0.0,0.31270847510946764,lorenz63
rossler_c8.57_s000:1300:800,rossler_c8.57_s000,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 8.571754164281877, 'dt': 0.05, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1300,v2,1,800,1,0.0,False,3.172065784643304e-17,0.9999999999999999,0.26227765193156105,0.4921395433747686,21.0,19.0,,False,0.9999990710131527,-0.005695030898616116,9.840941950625597,True,0.13280091485975973,True,0.062462615374886024,True,0.3902864297281316,0.008928571428571428,1.9016569262805914e-08,0.001,0.95,0,1.6788731380338084,True,0.28194019715110896,0.14419123825504554,1.0051942953484936,0.6097135702718683,0.000963839637755871,0.07547158329771175,-0.07450774365995588,,,,,1.0,,,,,,0.20328634584155186,0.25863552203406304,0.7715084951819781,0.9493360762992168,-10.14163022724697,0.009711735963881798,0.005494722707999407,0.01171875,0.017521902377972465,0.017543859649122806,0.0,0.0050062578222778474,794.9960453861237,0.9840396076792449,0.006496449073014721,0.981543923393687,3.0,0.09972003513928457,0.886711674625391,0.01862464183381089,1.1780152703681515,0.21346431325059273,0.0,0.7185396259962596,rossler
logistic_r3.6228_s000:1400:800,logistic_r3.6228_s000,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.622777557771053, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1400,v2,1,800,1,0.0,False,1.5860328923216522e-16,1.0,-0.2553255782091408,-1.586075467819386,186.0,3.0,,False,0.9394829512375392,0.05854503445801118,30.201217296265103,True,0.20538062695688675,True,0.6545467079308198,True,0.2763491219460964,0.5,0.032996318449877396,0.001,0.8048853007177104,0,0.023077578259184627,True,0.4836962538226018,0.21764543561812214,0.14549100482664729,0.7236508780539036,0.24600213162178236,0.04440736768205985,0.2015947639397225,0.2068362225788556,,,,1.0,,,,,,0.5336758707884719,0.5273448744650207,0.6750699332842308,0.13439774690943398,1.0313603931177069,0.4683072362489575,0.08282686106306072,0.5,1.0,1.0,0.0,0.0,410.21753729565114,0.29410891577329756,1.3294829152021848e-06,0.8761509843891518,16.0,0.09972003513928457,0.5694055656183106,0.19627507163323782,1.1670607797469974,0.015032545192758956,0.0,0.11444483234996516,logistic
henon_a1.078_s000:1500:800,henon_a1.078_s000,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.077998830501848, 'b': 0.3, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1500,v2,1,800,1,0.0,False,-5.3925118338936174e-17,1.0,-0.16122616026800923,-1.6244258385686459,186.0,3.0,,False,0.9848389728095297,0.013752399698824913,30.387527142000387,True,0.13913658950588137,True,0.1172716493380449,True,0.20460978826008577,0.5,0.006945105024765135,0.001,0.029735217970424204,0,0.007623354433419938,True,0.43620706446955015,0.16876945859591383,0.05522332581956354,0.7953902117399142,0.12313012300192946,0.03753168650147957,0.0855984365004499,0.12873133830501995,,,,1.0,,,,,,0.44565452025346425,0.3738335692475818,0.6750699332842308,0.06395461566537695,1.072853531028946,0.47115362897848195,0.0793553701528539,0.5,1.0,1.0,0.0,0.0,665.3848499133826,0.09281234080112294,1.569265507095352e-06,0.9710871203922591,30.0,0.09972003513928457,0.6502552280586201,0.14613180515759314,0.8859897779642856,0.022510674311351342,0.0,0.22041871281312084,henon
narma02_s000:1600:800,narma02_s000,input_driven_memory,synthetic,input_driven,"{'generator': 'narma', 'order': 2, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1600,v2,1,800,1,0.0,False,-1.0277493142244307e-15,1.0,1.033911518072528,0.46608264636352637,1.0,4.0,12.004136087638814,True,0.8177046860097749,0.10311233815094412,6.931839026761059,True,0.13515571580126448,True,0.9986863210737866,True,0.9171613477419873,0.35535714285714287,0.5010895210803036,0.001,0.8536516699818618,0,0.4789066533238231,True,0.9933610952610636,2.1343572992759507,0.5885754601859369,0.08283865225801268,0.4269605532016104,0.28139469760335045,0.14556585559825996,,2.0,,,,,,,,,2.2125652425137012,1.6782433592174337,1.7600037546338874,0.6162031007761827,0.04601615192823912,0.26312489785774373,0.1444888250457168,0.435546875,0.5106382978723404,0.6553884711779449,0.0,0.0,2.764156375399503,0.1420535908578429,0.00018923272076942776,0.1157511658508016,7.0,0.09972003513928457,0.5140787090400132,0.6532951289398281,2.4347078785809044,-0.0009327060933240483,0.0,0.35274305946160806,narma
linear_memory_lag01_s000:1700:800,linear_memory_lag01_s000,input_driven_memory,synthetic,input_driven,"{'generator': 'linear_memory', 'lag': 1, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1700,v2,1,800,1,0.0,False,-1.586032892321652e-17,1.0,0.09121397462723736,-1.135430994200293,1.0,4.0,18.993866356371395,True,0.9996235243517758,-0.000773960942343499,6.508517403005491,True,0.14052286141154594,True,0.9971631949655975,True,0.9189078563185492,0.39999999999999997,0.5373590762471109,0.001,0.7259960413107088,0,0.5324917077783136,True,0.9947755439780473,2.263645747288407,0.5951179558980738,0.08109214368145079,0.019402980395398773,0.03391808648151664,-0.014515106086117866,,1.0,,,,,,,,,2.217822268365796,1.646883610703977,1.747948934396669,0.6072758336199731,-0.12284732388390751,0.24850798862469164,0.1493819688546294,0.416015625,0.49937421777221525,0.6917293233082706,0.0,0.0,2.7386687163214587,0.1547159636055069,0.0004574678862704351,0.097275028799928,6.0,0.09972003513928457,0.5032109336407048,0.6575931232091691,2.4837462293651424,0.0016973577806472795,0.0,0.3605812603030778,linear_memory
nonlinear_ipc_d3_l17_s000:1800:800,nonlinear_ipc_d3_l17_s000,input_driven_memory,synthetic,input_driven,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 8, 17], 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1800,v2,1,800,1,0.0,False,3.172065784643304e-17,1.0,-0.16472113617565998,0.712635667969693,1.0,3.0,10.600164608058614,True,0.8173609086545676,0.03530328456753984,2.9184872123810575,True,0.1624062166560085,True,0.9979163884341654,True,0.9255902572301886,0.48214285714285715,0.5665770174621624,0.001,0.6593600727215847,0,0.495578953935625,True,0.9935753723127031,2.1393019296035147,0.565952955608773,0.07440974276981138,0.4273629503658833,0.3838434665041111,0.04351948386177218,,17.0,,,,,,,,,2.1223266239615537,1.6250034148161472,1.7600037546338874,0.5081249678265639,0.12022206950210503,0.26850911705023034,0.1425968942733737,0.439453125,0.5156445556946183,0.6942355889724311,0.0,0.0,0.862604545825808,0.1381510148878456,9.940257167551092e-05,0.1097555627957547,4.0,0.09972003513928457,0.5252758109665734,0.6446991404011462,2.463532775750559,0.0005159518450345846,0.0,0.3420977936627288,nonlinear_ipc
mso2_s000:1900:800,mso2_s000,oscillatory_quasiperiodic,synthetic,forecast,"{'generator': 'mso', 'n_freqs': 2, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",1900,v2,1,800,1,0.0,False,-4.123685520036296e-17,1.0,0.012224819610933491,-0.7402938093816549,5.0,7.0,,False,0.9999999999990609,-0.039516266982712045,11.23824488541058,True,0.29936203404267653,True,0.9439548957560107,True,0.27686758319732446,0.04642857142857143,1.220323314805731e-10,0.001,0.95,0,0.7117003716021919,True,0.4564737647396432,0.5069940452798256,0.46792210786869165,0.7231324168026756,9.691174151281914e-07,0.1987869889697291,-0.19878601985231398,,,2.0,,,,,,,,0.5793633761900788,0.5728453851377542,1.1210982820613118,0.3748633817463016,-7.891292200761063,0.03899962276269285,0.008079839610927272,0.046875,0.09011264080100125,0.09398496240601503,0.0,0.0,794.9912808860146,0.8979511815027553,0.00020973249037037345,0.9147267704396015,0.0,0.09972003513928457,0.7655195125967397,0.04011461318051576,1.7241408675178604,0.11497348671824337,0.0025,0.5045893867663716,mso
quasi_periodic2_s000:2000:800,quasi_periodic2_s000,oscillatory_quasiperiodic,synthetic,forecast,"{'generator': 'quasi_periodic', 'n_freqs': 2, 'taxonomy': 'v4', 'v4_source': 'continuity_core'}",2000,v2,1,800,1,0.0,False,-2.8548592061789737e-17,1.0,-0.009840793826523982,-0.7522267013655561,5.0,6.0,,False,0.9999999999987317,-0.020379012061668034,18.864231320967072,True,0.323162901545844,True,0.9916906976295428,True,0.2768589849309441,0.04642857142857143,1.1027833197345633e-10,0.001,0.9322109882495675,0,0.7005761827742554,True,0.44973475342717645,0.5587105319577548,0.4499676239666999,0.7231410150690559,1.1262135188440074e-06,0.14275507718794567,-0.14275395097442684,,,2.0,,,,,,,,0.6175222629876338,0.6431848825506865,1.0608241808752197,0.3479869284033939,-7.177735931300077,0.039307668061777455,0.006416471069295858,0.046875,0.0851063829787234,0.09147869674185463,0.0,0.0,794.9948940049737,0.9016683349584251,6.2689858633113715e-06,0.8983279854213885,0.0,0.09972003513928457,0.7760579614687964,0.09742120343839542,1.7180778073838336,0.11635338592511257,0.0,0.5133586043288412,quasi_periodic
