dataset_id,name,family,source,task_type,params,seed,schema_version,n_channels,length,horizon,missing_frac,irregular_sampling,mean,std,skew,kurtosis,ac_timescale,ami_first_min,mem_capacity,mem_capacity_valid,r2_linear,nl_gain,snr_db,snr_valid,lyapunov,lyapunov_valid,zero_one_K,zero_one_valid,spectral_entropy,dom_freq,spectral_flatness,adf_p,kpss_p,n_diffs,dfa_alpha,dfa_valid,perm_entropy,sample_entropy,hurst_rs,forecastability,pred_nrmse_linear,pred_nrmse_gbm,predictability_gap_linear_gbm,true_lyapunov,true_memory_order,true_n_frequencies,true_hurst,is_chaotic,nrmse_linear,nrmse_esn_matched,nrmse_qrc_spin,nrmse_gbm,qrc_advantage,ext_sample_entropy_m2,ext_approx_entropy_m2,ext_lz_complexity,ext_hurst_rs,ext_psd_slope,ext_spectral_centroid,ext_spectral_bandwidth,ext_spectral_rolloff85,ext_zero_crossing_rate,ext_turning_point_rate,ext_outlier_rate_3sigma,ext_spike_rate_mad6,ext_arch_lm5,ext_volatility_ac1,ext_trend_strength,ext_seasonality_strength,ext_changepoint_count,ext_recurrence_rate,ext_recurrence_determinism,ext_fnn_fraction,ext_corr_dim_approx,ext_bds_like,ext_zero_fraction,ext_cv2_positive,base_generator,frontier_score,candidate_pool_split,evaluation_split,selection_role,selection_order
mackey_glass_tau22_s000:1100:800,mackey_glass_tau22_s000,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 22}",1100,v2,1,800,1,0.0,False,-1.8397981550931167e-16,1.0,-0.5408997150437713,-0.4077816744741227,11.0,12.0,,False,0.9999604502578858,-0.0088671815006391,14.065019451124972,True,0.3622965189060905,True,0.858916078667024,True,0.430858501624176,0.0142857142857142,4.980558490140042e-07,0.001,0.95,0,1.3210366334339307,True,0.3984474102759151,0.3988489794074731,0.842170174743182,0.5691414983758241,0.0062888585700523,0.094375480092836,-0.0880866215227836,,,,,1.0,,,,,,0.4609656254184469,0.4691553333553497,0.9282211582658174,0.7560682979950766,-8.279754731282706,0.0184240418771946,0.009721504965132,0.025390625,0.0450563204005006,0.0701754385964912,0.0,0.0,794.9607954287612,0.9198797750345222,0.0003807394559617,0.9654399405675298,0.0,0.0997200351392845,0.8106372468302322,0.0587392550143266,1.5057586169926704,0.1781398632072073,0.0,0.0777635061610012,mackey_glass,0.62925,validation,validation,frontier_enriched,2.0
mackey_glass_tau31_s001:1101:800,mackey_glass_tau31_s001,chaotic_flow,synthetic,forecast,"{'generator': 'mackey_glass', 'tau': 31}",1101,v2,1,800,1,0.0,False,-4.4408920985006264e-17,1.0,-0.3387112489857086,-0.9212419116770024,14.0,15.0,,False,0.9999784348917382,-0.0051202246751818,20.822989525029115,True,0.3848800338247667,True,0.228125058212175,True,0.4524654989276536,0.0124999999999999,2.3207267137336626e-07,0.001,0.940919189583956,0,1.4482259608528172,True,0.3941752068394685,0.3489624061981266,0.9193581151913396,0.5475345010723464,0.0046438247449495,0.0717062743659409,-0.0670624496209913,,,,,1.0,,,,,,0.3713786102682212,0.4226525945331034,0.8679470570797253,0.8366814989127196,-8.317977279876699,0.0139732669816272,0.0083065000695852,0.01953125,0.0375469336670838,0.0576441102756892,0.0,0.0,794.9701443133688,0.9374437947788214,0.0066929766859127,0.9759361055322852,0.0,0.0997200351392845,0.835336736374115,0.0959885386819484,1.3449892267263468,0.1842416662993353,0.0,0.1331738609698207,mackey_glass,0.64475,discovery,unselected,,
lorenz63_rho42.86_s000:1200:800,lorenz63_rho42.86_s000,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 42.860654389008204, 'dt': 0.02}",1200,v2,1,800,1,0.0,False,0.0,1.0,-0.3548679902720764,-0.637825774598582,12.0,7.0,,False,0.9999456822181424,-0.0099378947084982,20.523264084275628,True,2.8487386610784036,True,0.953819293199817,True,0.524079308867129,0.0089285714285714,8.664655616767357e-08,0.001,0.696812714525561,0,1.3440051787093183,True,0.3612239949122489,0.3726511041198819,0.8982509166518255,0.475920691132871,0.0073700598272648,0.0999610548681624,-0.0925909950408976,,,,,1.0,,,,,,0.439032111057193,0.5010685210826202,0.7715084951819781,0.8320240877546192,-10.237272909343917,0.0161550382161686,0.0135572486864517,0.02734375,0.0175219023779724,0.0513784461152882,0.0,0.0,794.8331876370612,0.916314664595434,0.0006553871706916,0.9636911850081228,0.0,0.0997200351392845,0.8063560019759591,0.0415472779369627,1.456292649086728,0.1786509756021205,0.0,0.3287190945392286,lorenz63,0.6237500000000001,validation,validation,broad_balanced,0.0
lorenz63_rho30.42_s001:1201:800,lorenz63_rho30.42_s001,chaotic_flow,synthetic,forecast,"{'generator': 'lorenz63', 'rho': 30.41810627903052, 'dt': 0.02}",1201,v2,1,800,1,0.0,False,3.806478941571966e-17,1.0,-0.8630036486680263,0.5245000226257948,13.0,9.0,,False,0.9999749329024246,-0.0069947188804501,23.911076507345644,True,,False,0.955901227625012,True,0.4778798318209885,0.0035714285714285,1.2153294914430352e-08,0.001,0.8686202733367882,0,1.330742700008601,True,0.3523588661097235,0.3308624353314469,0.8294860156781916,0.5221201681790115,0.0050067052614897,0.0837841630502179,-0.0787774577887281,,,,,1.0,,,,,,0.3606896236578415,0.4091170308330007,0.8438374166052884,0.8473112989564235,-10.877380378386617,0.0149076060363547,0.0121469146390282,0.029296875,0.0287859824780976,0.0451127819548872,0.0,0.0,794.9666880328733,0.9276127532378736,0.0057795421292297,0.9703980467243168,1.0,0.0997200351392845,0.8374773588012514,0.0587392550143266,1.3707554402495237,0.18791109688929,0.0,0.3395161794259608,lorenz63,0.6152500000000001,discovery,discovery,broad_balanced,0.0
rossler_c8.79_s000:1300:800,rossler_c8.79_s000,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 8.785877082140939, 'dt': 0.05}",1300,v2,1,800,1,0.0,False,2.5376526277146434e-17,1.0,0.396987668151404,0.6712148015410766,21.0,13.0,,False,0.9999990287729342,-0.0097442925160849,8.810747574090449,True,0.1707913132975825,True,0.055010893062835,True,0.3708149832402985,0.0089285714285714,1.4069815492234649e-08,0.001,0.95,0,1.70178590719317,True,0.282194399013018,0.1037523473137816,1.0094965561988178,0.6291850167597015,0.0009855085315587,0.0987181024085796,-0.0977325938770208,,,,,1.0,,,,,,0.1579750351102854,0.2457927916629274,0.7473988547075412,0.9552189773159192,-10.18692993832784,0.009828000559964,0.0053339443988378,0.01171875,0.016270337922403,0.0175438596491228,0.0,0.0075093867334167,794.9971359078969,0.9851330489350488,0.0143927249221051,0.9854583427722252,4.0,0.0997200351392845,0.8995554091882101,0.0114613180515759,1.1369624913557774,0.2217945671498327,0.0,0.9458302771556448,rossler,0.7342500000000001,discovery,discovery,broad_balanced,1.0
rossler_c5.91_s001:1301:800,rossler_c5.91_s001,chaotic_flow,synthetic,forecast,"{'generator': 'rossler', 'c': 5.907973733509751, 'dt': 0.05}",1301,v2,1,800,1,0.0,False,-2.5376526277146434e-17,1.0,0.2961265546137367,-0.4692170761924252,22.0,20.0,,False,0.9999995659704674,-0.0027573526881695,19.893609004759703,True,0.0795403136820081,True,-0.0016158190537926,True,0.2524236194942944,0.0089285714285714,3.76336805840091e-10,0.001,0.9371664017414412,0,1.669950845559799,True,0.2762721288288501,0.2017452089349614,0.987213937527202,0.7475763805057056,0.0006588091777453,0.0525146333673025,-0.0518558241895572,,,,,1.0,,,,,,0.2403082750868512,0.2705690703767089,0.7594536749447596,0.930532820405668,-9.587234419702371,0.0084801232330895,0.002259655552533,0.009765625,0.0175219023779724,0.0162907268170426,0.0,0.0,794.999705949194,0.987890401307936,0.00066327959611,0.9852093250664352,0.0,0.0997200351392845,0.8791371644986004,0.0114613180515759,1.2089875308038929,0.2067541385274996,0.0,0.4336787401213973,rossler,0.6527499999999999,validation,validation,broad_balanced,1.0
logistic_r3.6114_s000:1400:800,logistic_r3.6114_s000,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.6113887788855266}",1400,v2,1,800,1,0.0,False,-2.3790493384824785e-17,1.0,-0.1969056769513186,-1.6870736881432664,186.0,3.0,,False,0.9541189728854678,0.0446414800351036,30.480894351556657,True,0.2143065852959119,True,0.7441402795542561,True,0.2471450676804586,0.5,0.0241821466936837,0.001,0.7795401582209222,0,0.0166408245424807,True,0.4705944892418118,0.2213271448994848,0.1202826103633959,0.7528549323195414,0.2141985693568756,0.0352072020960003,0.1789913672608752,0.2053024610872142,,,,1.0,,,,,,0.5545283086370341,0.527874413437297,0.6750699332842308,0.0820106850496551,1.0638563343670309,0.4735013356170788,0.0763452950371346,0.5,1.0,1.0,0.0,0.0,484.0928037168926,0.214934688253691,1.4377694284806177e-05,0.9357063792200038,17.0,0.0997200351392845,0.5881771776716614,0.1934097421203438,1.0887509516501734,0.0146257369946853,0.0,0.1164811520618512,logistic,0.36625,validation,unselected,,
logistic_r3.8977_s001:1401:800,logistic_r3.8977_s001,chaotic_map,synthetic,forecast,"{'generator': 'logistic', 'r': 3.897734489437128}",1401,v2,1,800,1,0.0,False,-1.681194865860951e-16,1.0,-0.2585676737272546,-1.3664516689799384,2.0,9.0,,False,0.2194033404446389,0.7772911736817038,6.17594569894624,True,0.5106179044444925,True,0.996881125855392,True,0.8641072607923147,0.4285714285714285,0.3812162441673815,0.001,0.7019685513157522,0,0.2933638130072022,True,0.7043295704254562,0.5203335628180451,0.3796318282244828,0.1358927392076853,0.8835138140150165,0.0574933550391464,0.8260204589758701,0.503296377183538,,,,1.0,,,,,,0.8171014923063841,0.8792439406729118,1.4586332487034273,0.4350586125742552,0.7347706671289559,0.3529011590278735,0.1061354493223733,0.443359375,0.7321652065081352,0.8421052631578947,0.0,0.0,95.39929062648947,0.1346882922895447,8.51045256489158e-08,0.138970505302808,4.0,0.0997200351392845,0.57582743289972,0.2349570200573066,1.7901287996962107,0.0061745496387661,0.0,0.2352156329186117,logistic,0.4427500000000001,discovery,unselected,,
henon_a1.239_s000:1500:800,henon_a1.239_s000,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.2389994152509238, 'b': 0.3}",1500,v2,1,800,1,0.0,False,6.344131569286609e-18,1.0,-0.542214803327693,-0.5633711900774339,2.0,4.0,,False,0.9999999999995952,-0.0004067977720478,318.9709662097686,True,,False,0.9781962962727442,True,0.3281599548830658,0.4285714285714285,1.7123733267818893e-15,0.001,0.95,0,0.0349593085544956,True,0.5500322716771638,0.0035906681307285,-0.0187630913811208,0.6718400451169342,6.361158944132121e-07,0.0201692283554065,-0.0201685922395121,-0.227851911168891,,,,0.0,,,,,,0.3211499811149506,0.3847701276444906,1.3501398665684616,0.1047851284088655,3.0765339387230783,0.3310850136879024,0.1204288755801046,0.4296875,0.571964956195244,0.8571428571428571,0.0,0.0,497.0445188758918,0.3653528574497282,1.8396075884830057e-07,0.9912401476290112,35.0,0.0997692958185893,0.7246543778801844,0.1848137535816618,2.853305457125301,0.0107468427596353,0.0,0.1491407528989576,henon,0.4125,validation,unselected,,
henon_a1.038_s001:1501:800,henon_a1.038_s001,chaotic_map,synthetic,forecast,"{'generator': 'henon', 'a': 1.0384118420527013, 'b': 0.3}",1501,v2,1,800,1,0.0,False,-4.7580986769649563e-17,1.0,-0.1535924471640242,-1.620324230732382,186.0,2.0,,False,0.999999999949523,-0.0003843401567593,318.1084031626673,True,,False,-0.0836006733881839,True,0.1823414579348236,0.5,2.022274284349712e-15,0.001,0.001,0,0.0046357308256572,True,0.4362070644695501,0.1875882326433384,0.0965041919694777,0.8176585420651764,7.104712045653464e-06,0.019604596584382,-0.0195974918723363,-0.396745095681297,,,,0.0,,,,,,0.255468452468126,0.1973375074596988,0.6750699332842308,0.0275567720525111,0.602488204493075,0.4722084989960299,0.0777712075501999,0.5,1.0,1.0,0.0,0.1251564455569462,750.3072603370639,0.0295104455744375,1.2825347884826144e-06,0.9899999999999998,2.0,0.1041206558238438,0.7050938337801609,0.0014326647564469,2.7952738461727513,-0.0204409120826582,0.0,0.2731604647921483,henon,0.3365000000000001,discovery,unselected,,
